track_uri,track_name,album,artist_name,track_pop,year,language,link
spotify:track:50RwvvEKX5Q7AZt8FTAwIF,That'll Be The Day,That'll Be The Day,Buddy Holly,61,1950,english,https://open.spotify.com/track/spotify:track:50RwvvEKX5Q7AZt8FTAwIF?si=b0d970dc39ca4da1&nd=1
spotify:track:1oDCK7PW72XEZ1pE5rh87A,Smile,The Nat King Cole Story,Nat King Cole,58,1950,english,https://open.spotify.com/track/spotify:track:1oDCK7PW72XEZ1pE5rh87A?si=b0d970dc39ca4da1&nd=1
spotify:track:7vAw4LLIms6X8ZHcbtoazz,I Wonder Why,Presenting Dion And The Belmonts,Dion & The Belmonts,58,1950,english,https://open.spotify.com/track/spotify:track:7vAw4LLIms6X8ZHcbtoazz?si=b0d970dc39ca4da1&nd=1
spotify:track:4cRfSR0QxDlXRHTKyEOu93,"Come On, Let's Go",Ritchie Valens,Ritchie Valens,59,1950,english,https://open.spotify.com/track/spotify:track:4cRfSR0QxDlXRHTKyEOu93?si=b0d970dc39ca4da1&nd=1
spotify:track:4gFlHAye7To29Fs4UszQUH,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker Sings,Chet Baker,57,1950,english,https://open.spotify.com/track/spotify:track:4gFlHAye7To29Fs4UszQUH?si=b0d970dc39ca4da1&nd=1
spotify:track:4mQz22nF9cyWqwuErTqc6V,Crazy He Calls Me,Lover Man,Billie Holiday,57,1950,english,https://open.spotify.com/track/spotify:track:4mQz22nF9cyWqwuErTqc6V?si=b0d970dc39ca4da1&nd=1
spotify:track:5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",What'd I Say,Ray Charles,58,1950,english,https://open.spotify.com/track/spotify:track:5yQ9iMZXGcr5rlO4hoLsP4?si=b0d970dc39ca4da1&nd=1
spotify:track:0x0ffSAP6PkdoDgHOfroof,My Funny Valentine,Songs For Young Lovers,Frank Sinatra,57,1950,english,https://open.spotify.com/track/spotify:track:0x0ffSAP6PkdoDgHOfroof?si=b0d970dc39ca4da1&nd=1
spotify:track:1KLpjQFgubHI3GkAICCNH3,Dream Lover,The Ultimate Bobby Darin,Bobby Darin,57,1950,english,https://open.spotify.com/track/spotify:track:1KLpjQFgubHI3GkAICCNH3?si=b0d970dc39ca4da1&nd=1
spotify:track:2ZNTPtYmAhN9vCwnAgqKn1,"Shout, Pts. 1 & 2",Shout!,The Isley Brothers,57,1950,english,https://open.spotify.com/track/spotify:track:2ZNTPtYmAhN9vCwnAgqKn1?si=b0d970dc39ca4da1&nd=1
